Unnamed: 0,sentence,Smell Word,Flower,Flower Smell,Flower Quality
7,"The Sweet Bay bush in the farmer ’ s or cottage garden comes with its story from the streams of Greece , where it seeks moisture in a thirsty land along with the wild Olive and the Arbutus nan ",0,0,0,0
8,"And this Sweet Bay is the Laurel of the poets , of the first and greatest of all poet and artist nations of the earth — the Laurel sacred to Apollo , and used in many ways in his worship , as we may see on coins , and in many other things that remain to us of the great civilisations of the past . 1 The Myrtle , of less fame , was also a sacred plant beloved for its leaves and blossoms , was , like the Laurel , seen near the temples of the race who built their temples as Lilies are built , whose song is deathless , and the fragments of its art Despair to the artist of our time nan ",0,1,0,0
9,"And so we see how the fragrant bushes our gardens may entwine for us , apart from their gift of fragrance , living associations and beautiful thoughts for ever famous in human story nan ",1,0,0,0
10,"It is not only these trees and climbers , loved by all for their odour , we have to think of , but many delicate ones , 1 ‘ What you call advantageous , Solon , is for these men to be crowned in view of all the world , who just before were objects of pity from their wounds : and yet it seems they think themselves happy if in return for all their labours they can get a bunch of Laurel . ’ — From the Greek of Lucian . little thought of , perhaps , from the blossoms that give it being without showy colour , as the fragrant American wild Vine nan ",1,0,0,0
11,"And among these modest flowers there are none more delicate than the blossoms of the White Willow of Britain and northern Europe , all the more grateful in air coming to us . ‘ O ’ er the northern moorland , o ’ er the northern foam . ’ What is the lesson these sweet flowers have for us 1 They tell us — if there were no other flowers to tell us — that a garden should be a living thing ; its life not only fair in form and lovely in colour , but in its breath and essence coming from the Divine nan ",0,1,0,0
12,"They tell us that the very common attempt to conform these fair lives into tile or other patterns , to clip or set them out as so much mere colour of the paper-stainer or carpet-maker , is to degrade them , and make our gardens ugly and ridiculous , from the point of view of nature or true art nan ",0,0,0,0
13,And many of these treasures for the open garden have been shut out of our thoughts owing to exclusion of almost everything that did not make showy colour and lend itself to carpet or other crude modes of setting flowers to compete with tiles and like modes of ‘ decoration . nan ,0,0,0,0
14,"Of the many considerations that should occur in the making of a beautiful garden to live in , this of fragrant plants and flowers is one of the first nan ",1,1,1,1
15,"And happily among every class of flowers which adorn our open-air gardens , there are odorous things to be found nan ",1,1,0,0
16,"Apart from the groups of plants in which all , or nearly all , are sweet , as in Roses and Violets , the annual and biennial flowers of our gardens , are rich in fragrance , Stocks , Mignonette , Sweet Peas , Sweet Sultan and Wallflowers , Double Rockets , Sweet Scabious , and many others , the odours of which are not always so popular nan ",1,1,1,1
17,"These , among the most easily raised of plants , are enjoyed by the simplest cottage gardeners nan ",0,0,0,0
18,The garden borders bear for us odours as precious as any breath of tropic Orchid : from the Lily of the Valley to the Carnation — this last being perhaps the most grateful odour of all the flowering host in our garden land nan ,1,1,1,0
19,"Among these borders one meets with things sweeter than words may tell of — Woodruff , Balm , Pinks , Violets , garden Primroses , Polyanthus , day and other Lilies , early Iris , Narcissus , evening Primroses , Mezereon Bush , Wallflower and Pansies , delicate in their sweetness nan ",1,1,1,1
20,"No one may be richer in delicate fragrance than the wise man who plants hardy shrubs and flowering trees — Magnolia , Thorn , Daphne , Lilac — names each telling of whole families of delightful things nan ",1,0,0,0
21,"Among shrubs , those without any very strong odour , like the hardy Heaths , are all the more pleasant to many whose memories are often touched by remembered fragrance of some plant they do not always know nan ",1,0,0,0
22,"From the same regions where we found the Laurel and the Myrtle we have the Laurustinus , beautiful in all our sea-coast and milder districts , and many other lovely things happy in our climate : one , the Winter Sweet , even pouring out delicious fragrance in mid-winter : Sweet Gale , that grows in any boggy place , Azalea , Allspice , and the delightful little Mayflower that creeps about in the woodland shades in North America nan ",1,0,0,0
23,"So , though we cannot boast N of Lemon or Orange groves , our climate is kind to many lovely and fragrant shrubs nan ",1,0,0,0
24,"Even our ugly walls may be sweet gardens with Magnolia , Honeysuckle , Clematis , Sweet Verbena , and the delightful old Jasmine , still clothing many a house in London nan ",0,0,0,0
25,"Most precious of all , however , are the noble climbing Tea Roses raised in our own time , mostly in France within the past forty years or so nan ",0,1,0,0
26,Among the abortions of this century these are a real gain — the loveliest flowers ever raised by man nan ,0,1,0,0
27,"Noble in form and colour , and scented as delicately as a J une morn in alpine pastures , with these most precious of garden roses we could cover all the ugly walls in England and Ireland , and Heaven knows there are many in want of a veil nan ",0,1,0,0
28,The old Kent and Sussex way of having an orchard near the house was a good one nan ,0,0,0,0
29,"Planted for use , it was as precious for its beauty , and not only when the spring winds carry the breath of its myriad blossoms of Cherry , Plum , Apple , or Pear nan ",1,0,0,0
30,"We have the fruit odours too , and the faint scent of Strawberries , and later their leaves , and the Currant leaves nan ",1,0,0,0
31,"It would be , in many places , charming to plant a pretty orchard and have the fruit-garden near or alongside — keeping the less pleasant evidence of vegetables in the background nan ",0,0,0,0
32,"These beautiful orchards , too , are where the early Daffodils and Snowdrops appear nan ",0,1,0,0
33,"Then , with Violets and Primroses on the banks they may be delightfully sheltered from the north and east by a grove of our native evergreens — Holly and Yew — these , in their turn , wreathed here and there with the fragrant autumn Clematis , Honeysuckles , and Climbing Wild Roses nan ",1,1,1,1
34,"Of all the things for garden pictures there are none so good as the lovely groups of hardy trees forming our hardy fruits , including the Medlar and Quince , while near might be the Japanese and other handsome Crabs , which have so much beauty of bloom and also brilliant fruit in autumn nan ",0,0,0,0
35,"MONO the many enjoyments this fascinating world affords , none are more innocent or enticing than close association with the beautiful gems that so happily grace our gardens , where a balmy atmosphere laden with sweet perfumes and aromatic fragrance , rich and embowering foliage , with rural seclusion , are ever perfect ideas of earthly felicity — ‘ In the calm retreat , Far from the busy haunts of life , Where Flora trains her lovely offspring up To captivate and charm . nan ",1,0,0,0
36,"In all countries , civilised and savage , in the religious festivals of all creeds , and on all occasions whether of grief or rejoicing , the scented attractions of flowers and plants possess an important significance , and Nature seems to have been most bountiful in her munificence in scattering these odoriferous treasures throughout our world , to give cheerfulness to the earth and happiness to its inhabitants nan ",1,1,1,1
37,Every rank of people seem equally to appreciate them as a gratification to the organs of sight and smell nan ,1,0,0,0
38,"The refreshing odours prevalent in a garden , where the richest perfumes shed their aromatic perfections lavishly around , are the spoils from Nature ’ s laboratory , that dispense delicious medicines to sweeten our existence nan ",1,0,0,0
0,nan ,0,0,0,0
1,Snuff Perfum ' d with Flowers nan ,1,1,1,0
2,"THE Flowers much used for Perfuming Snuff , are Orange-flower water , Jasmin , common Roses , musqued Roses and Tuberoses , other Flowers can hardly Perfume naturally , unless you use a great quantity of them , and add to them some Essence of the same Flowers , as you ' ll see in the Receipts for Perfuming Snuff ; but when all is done the smell never last long , as in other Perfumes nan ",1,1,1,1
3,Here is the manner how to use them in Perfuming Snuff nan ,1,0,0,0
4,"Get a Wooden Box , as big as you have occasion for , line within with dry Paper , lay in it a Bed of Snuff an Inch thick , then a Bed of Flowers , and so along till you have no more of it ; let it lay so in the Flowers Twenty four Hours : then searce your Snuff , to take out the Flowers , and renew them at the same time ; continue so doing four or five days ; and when you think your Snuff is Perfum ' d enough with Flowers , keep it very close in your Boxes , in a very dry place ; don ' t meddle with it when the Flowers are within , because it will not heat nan ",1,1,1,0
5,Another manner of Perfuming Snuff with Flowers nan ,1,1,1,0
6,"GET a good quantity of Sheets of Paper dryed before the Fire , of the bigness and shape or thereabouts of your Boxes ; prick them all over with a big Pin ; then to Perfume your Snuff with Flowers , lay a Bed of them an Inch thick in the Box ; and over one Sheet of that Paper , and over the Paper a Bed of Flowers , and another sheet of Paper over the Flowers ; lay over that sheet another Bed of Snuff , and continue so doing till you have none left : So the Flowers are between two Papers , and the Snuff too , without touching the Flowers ; and by that means the Snuff takes naturally the Smell of the Flowers , because the same Smell is not corrupted or alter ' d by the Snuff nan ",1,1,1,0
7,"Change your Flowers according to the Plenty you have of them ; and when you take them out , take up only the sheets of Paper , and pass your Snuff through a fine hair Sieve to let your Snuff through and keep in the Flowers nan ",0,1,0,0
8,"Flower it so four or five days , and ' tis done nan ",0,0,0,0
9,Snuff perfum ' d with Buds of Roses nan ,1,1,1,0
10,"TAKE as much Buds of Roses as you will , pluck out the green knots , and in their room put as many Cloves : Then throw them in a Glass-bottle well stopt , expose the Bottle to the hot sun three Weeks or a Month ; you may use them after to perfume your Snuff , being cleansed they will give a very sweet Smell to it nan ",1,1,1,0
11,Snuff perfum ' d with a great many sorts of Flowers nan ,1,1,1,0
12,"NOthing else is to be done , but to mix together Snuff perfum ' d with several sweet Flowers , and to prepare it so well by more or less of it , that you can hardly discern which Smell prevails , and ' tis done nan ",1,1,1,0
13,The manner of making Snuff in Grains of different bigness nan ,0,0,0,0
14,"GET several sorts of Sieves , some of thin others of very thick Cloth , and so according to the courseness of your Cloth , you ' ll make the Grains of your Snuff in passing it through ; you must not searce it but when it is perfum ' d with Flowers nan ",1,1,1,0
15,Fine Spanish Snuff nan ,0,0,0,0
16,"THE true Spanish Snuff is very fine and redish , to make it take red Snuff in Grains , beat it in a Mortar , and pass it very fine through a Sieve ; and being cleansed before it is colour ' d , as I prescribe in the beginning of this Treatise , perfume it only with Flowers , then with some Spanish Perfume or other , and ' tis done nan ",1,1,1,0
0,nan ,0,0,0,0
1,OLEUM AMYGDALJE nan ,0,0,0,0
2,Almond Oil nan ,0,0,0,0
3,The oil expressed from the bitter or sweet almond nan ,0,0,0,0
4,"Thin , pale yellow , nearly inodorous , with a bland oleaginous nutty taste nan ",0,0,0,0
5,"Used in preparing Oleum Phosphoratum , Unguenhim Cetacei , Uncjuentum Ilesince , and Unguenhm , Simplex , and the preparations containing it nan ",0,0,0,0
6,OLEUM ANETHI nan ,0,0,0,0
7,Oil of Dill nan ,0,0,0,0
8,The oil distilled in Britain from dill fruit nan ,0,0,0,0
9,"Colour pale yellow , odour pungent , taste hot and sweetish nan ",1,0,0,0
10,OLEUM ANISI nan ,0,0,0,0
11,Oil of Anise nan ,0,0,0,0
12,The oil distilled in Europe from anise fruit ; or in China from star-anise fruit nan ,0,0,0,0
13,"Colourless or very pale yellow ; with the odour of the fruit , and an aromatic sweetish taste nan ",1,0,0,0
14,"The ordinary oil of anise congeals at temperatures between 50 ° and 60 ° Fahr . ( 10 ° to 15.5 ° C ) , and may remain solid at 62 ° or 63 ° Fahr . ( 16.7 ° to 17.2 ° C . ) ; oil of star-anise only becomes solid at a few degrees above the freezing-point of water nan ",0,0,0,0
15,"Used in preparing Essentia Anisi , Tinctura Camphorae Composita , and Tinctura Opii Ammoniata nan ",0,0,0,0
16,OLEUM ANTHEMIDIS nan ,0,0,0,0
17,Oil of Chamomile nan ,0,1,0,0
18,The oil distilled in Britain from chamomile flowers nan ,0,1,1,0
19,"Pale blue or greenish-blue , but gradually becoming yellowish brown ; with the peculiar aromatic taste and odour of the flowers nan ",1,1,0,0
20,Used in preparing Extractum Anthemidis nan ,0,0,0,0
21,OLEUM CAJUPUTI nan ,0,0,0,0
22,Oil of Cajupnt nan ,0,0,0,0
23,Nat nan ,0,0,0,0
24,"Ord . , Mtrtaceae nan ",0,0,0,0
25,The oil distilled from the leaves of Melaleuca minor nan ,0,0,0,0
26,"A transparent limpid very volatile pale bluish-green liquid , with a strong penetrating agreeable camphoraceous odour , and a warm bitterish aromatic camphoraceous taste succeeded by a sensation of coldness in the mouth nan ",1,0,0,0
27,Used in preparing Linimentum Crotonis and Spiritus Cajuputi nan ,0,0,0,0
28,Powerful stimulant and antispasmodic nan ,0,0,0,0
29,OLEUM CARTUI nan ,0,0,0,0
30,Oil of Caraway nan ,0,0,0,0
31,The oil distilled in Britain from caraway fruit nan ,0,0,0,0
32,"Colourless or pale yellow when recent , but gradually becoming darker , with the odour of the fruit , and a spicy somewhat acrid taste nan ",1,0,0,0
33,Used in preparing Confectio Scammonii and Pilula Aloes Barbadensis nan ,0,0,0,0
34,OLEUM CARYOPHYLLI nan ,0,0,0,0
35,Oil of Cloves nan ,0,0,0,0
36,The oil distilled in Britain from cloves nan ,0,0,0,0
37,"Colourless or pale yellow when recent , but gradually becoming reddish-brown , having in a high degree the odour and taste of cloves nan ",1,0,0,0
38,Sinks in water nan ,0,0,0,0
39,"Used in preparing Confectio Scammonii , Pilula Colocynthidis Composita , and Pilula Colocynthidis et Hyoscyami nan ",0,0,0,0
40,OLEUM CINNAMOMI nan ,0,0,0,0
41,Oil of Cinnamon nan ,0,0,0,0
42,The oil distilled from cinnamon bark nan ,0,0,0,0
43,"Yellowish when recent , but gradually becoming cherry-red , having the odour and taste of cinnamon bark nan ",1,0,0,0
44,Sinks in water nan ,0,0,0,0
45,Used in preparing Spiritus Cinnamomi nan ,0,0,0,0
46,"Dose . — Of all the above oils , and of many following , 1 to 4 minims nan ",0,0,0,0
47,OLEUM COPAIBS nan ,0,0,0,0
48,Oil of Copaiva nan ,0,0,0,0
49,The oil distilled from copaiva nan ,0,0,0,0
50,"Colourless or pale yellow , with the odour and taste of copaiva nan ",1,0,0,0
51,Dose . — 5 to 20 minims nan ,0,0,0,0
52,OLEUM CORIANDRI nan ,0,0,0,0
53,Oil of Coriander nan ,0,0,0,0
54,The oil distilled in Britain from coriander fruit nan ,0,0,0,0
55,"Pale yellow or colourless , having the odour of the fruit and a mild aromatic taste nan ",1,0,0,0
56,Used in preparing Syrupus Sennae nan ,0,0,0,0
57,OLEUM CROTONIS nan ,0,0,0,0
58,Croton Oil nan ,0,0,0,0
59,Nat nan ,0,0,0,0
60,"Ord . , Euphorbiaceae nan ",0,0,0,0
61,The oil expressed in Britain from the seeds of Croton Tiglium nan ,0,0,0,0
62,"Brownish-yellow to dark reddish-brown , fluorescent , with a viscid consistence which is increased by age , a faint , peculiar , somewhat rancid , disagreeable odour , and an oily acrid taste nan ",1,0,0,0
63,Entirely soluble in alcohol nan ,0,0,0,0
64,Contains Crotonic Acid nan ,0,0,0,0
65,Used in preparing Liniment um Crotonis nan ,0,0,0,0
66,"Powerful irritant , drastic purgative nan ",0,0,0,0
67,"Dose . — 1 / 3 to 1 minim , placed on the tongue , or in pill with crumb of bread nan ",0,0,0,0
68,OLEUM CUBEBAE nan ,0,0,0,0
69,Oil of Cubebs nan ,0,0,0,0
70,Nat nan ,0,0,0,0
71,"Ord . , Piperacej : nan ",0,0,0,0
72,The oil distilled in Britain from cubebs nan ,0,0,0,0
73,"Colourless or greenish-yellow , with the odour and taste of cubebs nan ",1,0,0,0
74,Contains Cubebin nan ,0,0,0,0
75,Stimulant to mucous membranes ; given in gonorrhoea and obstinate sneezing nan ,0,0,0,0
76,Dose . — 5 to 20 minims nan ,0,0,0,0
77,OLEUM EUCALYPTI nan ,0,0,0,0
78,Oil of Eucalyptus nan ,0,0,0,0
79,Nat nan ,0,0,0,0
80,"Ord . , Myrtaceae nan ",0,0,0,0
81,"The oil distilled from the fresh leaves of Eucalyptus Globulus , Eucalyptus amygdalina , and probably some other species of Eucalyptus nan ",0,0,0,0
82,"Colourless or pale straw-coloured , becoming darker and thicker by exposure nan ",0,0,0,0
83,"It has an aromatic odour , and a spicy and pungent flavour , leaving a sensation of coldness in the mouth nan ",1,0,0,0
84,Used in preparing Ungnentuin Eucalypti nan ,0,0,0,0
85,"Possesses powerful ozonizing and anti-malarial influence ; destructive to low organic growths , but not caustic to the skin nan ",0,0,0,0
86,OLEUM JUNIPEHI nan ,0,0,0,0
87,Oil of Juniper nan ,0,0,0,0
88,Nat nan ,0,0,0,0
89,"Ord . , Coniferae nan ",0,0,0,0
90,The oil distilled in Britain from the full-grown unripe green fruit of Juniperus communis nan ,0,0,0,0
91,"Colourless or pale greenish-yellow , with the characteristic odour of the fruit , and a warm aromatic taste nan ",1,0,0,0
92,Used in preparing Spiritius Juniperi nan ,0,0,0,0
93,Stimulant and diuretic nan ,0,0,0,0
94,OLEUM LAVANDULA nan ,0,0,0,0
95,Oil of Lavender nan ,0,1,0,0
96,Nat nan ,0,0,0,0
97,"Ord . , Labiate nan ",0,0,0,0
98,The oil distilled in Britain from the flowers of Lavandula vera nan ,0,1,1,0
99,"Pale yellow or nearly colourless , with the very fragrant odour of the flowers , and a hot bitter aromatic taste nan ",1,1,0,1
100,"Used in preparing Linimentum Camphorae Compositum Spiritus Lavandulae , and Tinctura Lavandulae Composita nan ",0,0,0,0
101,Stimulant carminative ; given as an adjunct to purgatives to relieve flatulence nan ,0,0,0,0
102,OLEUM LIMONIS nan ,0,0,0,0
103,Oil of Lemon nan ,0,0,0,0
104,A volatile oil obtained by mechanical means from fresh lemon peel nan ,0,0,0,0
105,"Pale yellow , with a very fragrant odour and a warm bitterish aromatic taste nan ",1,0,0,0
106,Used in preparing Linimentum Patassii Iodidi cum Sapone and Spirit Ammoniae Aromaticus nan ,0,0,0,0
107,OLEUM LINL Linseed Oil nan ,0,0,0,0
108,The oil expressed in Britain without heat from linseed nan ,0,0,0,0
109,"Viscid , yellow , with a faint odour , and bland oleaginous taste nan ",1,0,0,0
110,It gradually thickens by exposure to the air nan ,0,0,0,0
111,OLEUM MENTHAE PIPERITA nan ,0,0,0,0
112,Oil of Peppermint nan ,0,0,0,0
113,Nat nan ,0,0,0,0
114,"Ord . , Labiatae nan ",0,0,0,0
115,"The oil distilled in Britain from fresh flowering peppermint , Mentha piperita nan ",0,0,0,0
116,"Colourless , pale yellow , or greenish-yellow when recent , but becoming gradually thicker and reddish by age , with the odour of peppermint , and a strong penetrating aromatic taste , followed by a sensation of coldness in the mouth nan ",1,0,0,0
117,Contains Menthene and Menthol nan ,0,0,0,0
118,"Used in preparing Aqua Methae Piperitae , Essentia Menthae Piperitae , Pilula Rhei Composita , Spiritus Menthae Piperitae , and Tinctura Chloroformi et Morphinae nan ",0,0,0,0
119,Stimulant carminative ; adjunct to purgatives to relieve flatulence nan ,0,0,0,0
120,OLEUM MENTHA VIRIDIS nan ,0,0,0,0
121,Oil of Spearmint nan ,0,0,0,0
122,Nat nan ,0,0,0,0
123,"Ord . , Labiatee nan ",0,0,0,0
124,"The oil distilled in Britain from fresh flowering spearmint , Mentha viridis nan ",0,0,0,0
125,"Colourless , pale yellow , or greenish-yellow Vv ^ hen recent , but becoming reddish by age , with the odour and taste of the herb nan ",1,0,0,0
126,Used in preparing Aqua Menthae Viridis nan ,0,0,0,0
127,Given to disguise the taste of nauseous drugs nan ,0,0,0,0
128,OLEUM OLIVAE nan ,0,0,0,0
129,Olive Oil nan ,0,0,0,0
130,Nat nan ,0,0,0,0
131,"Ord . , Oleacacea nan ",0,0,0,0
132,The oil expressed from the ripe fruit of Olea europsea nan ,0,0,0,0
133,"Pale yellow or greenish-yellow , with a very faint agreeable odour and a bland oleaginous taste ; congeals partially at about Fahr . ( 2.2 ° C ) nan ",1,0,0,0
134,Contains Olein ( liquid ) and Margarine ( solid ) nan ,0,0,0,0
135,"Used in preparing Charta Epispastica , Cataplasma Lint , Enema Magaesii Sulphatis , and some plasters , liniments , and ointments nan ",0,0,0,0
136,OLEUM PHOSPHOEATUM nan ,0,0,0,0
137,Phospliorated Oil nan ,0,0,0,0
0,nan ,0,0,0,0
1,"Isop is reasonable long lasting : young roots are good set , slips better nan ",0,0,0,0
2,A good pot-hearbe nan ,0,1,1,0
3,"Iuly-flowers , commonly called Gilly-flowers , or Cloue-Iuly-flowers ( I call them so , because they flowre in Iuly ) they haue the name of Cloues , of their sent nan ",1,1,1,0
4,I may well call them the King of flowers ( except the Rose ) and the best sort of them are called Queene-Iuly flowers nan ,0,1,0,0
5,"I haue of them nine or ten seuerall colours , and diuers of them as big as Roses : of all flowers ( saue the Damaske Rose ) they are the most pleasant to sight and smell : they last not past three or foure yeeres vnremoued nan ",1,1,0,1
6,"Take the sl • ps ( without shanks ) aud set any time , saue in extreme frost , but especially at Michael tide nan ",0,0,0,0
7,"Their vse is much in ornament , and conforting the spirits , by the sence of smelling nan ",1,1,1,0
8,"Iuly flowers of the wall , or wall-Iuly-flowers wall-flowers , or Bee-flowers , or Winter-Iuly-flowers , because growing in the walles , euen in Winter , and good for Bees , will grow euen in stone walls , they will seeme dead in Summer , and yet reuiue in Winter nan ",0,1,1,0
9,"They yeeld seed plentifully , which you may sow at any time , or in any broken earth , especially on the top of a mud-wall , but moist , you may set the root before it be brancht , euery slip that is not flowr ' d will take root , or crop him in Summer , and he will flower in Winter : but his Winter-seed is vntimely nan ",0,0,0,0
10,"This and Palmes are exceeding good , and timely for Bees nan ",0,0,0,0
11,"Leekes yeeld seed the second yeere , vnremoued and die , vnlesse you remoue them , vsuall to eate with salt and bread , as Onyons alwaies greene , good pot-hearb , euill for the eyes nan ",0,0,0,0
12,"Lauendar Spike would be remoued within 7 yeeres , or eight at the most nan ",0,0,0,0
13,"Slips twined as Isop and Sage , would take best at Michael-tide nan ",0,1,1,0
14,"This flower is good for Bees , most comfortable for smelling , except Roses : and kept dry , is as strong after a yeere , and when it is gathered nan ",1,1,1,1
15,The water of this is comfortable nan ,0,0,0,0
16,White Lauendar would be remoued sooner nan ,0,0,0,0
17,"Lettice yeelds seed the first yeere , and dyes : sow betime , and if you would haue them Cabbage for Sallets , remoue them as you doe Cabbage nan ",0,0,0,0
18,"They are vsuall in Sallets , and the pot nan ",0,1,0,0
0,nan ,0,0,0,0
1,"It seems highly probable that , as has been especially emphasized by Hagen , perfumes were primitively used by women , not as is sometimes the case in civilization , with the idea of disguising any possible natural odor , but with the object of heightening and fortifying the natural odor nan ",1,0,0,0
2,"If the primitive man was inclined to disparage a woman whose odor was slight or imperceptible , — turning away from her with contempt , as the Polynesian turned away from the ladies of Sydney : nan ",1,0,0,0
3,"— women would inevitably seek to supplement any natural defects in this respect , and to accentuate their odorous qualities , in the same way as by corsets and bustles , even in civilization , they have sought to accentuate the sexual saliencies of their bodies nan ",1,0,0,0
4,"In this way we may , as Hagen suggests , explain the fact that until recent times the odors preferred by women have not been the most delicate or exquisite , but the strongest , the most animal , the most sexual : musk , castoreum , civet , and ambergris nan ",1,0,0,0
5,"In that interesting novel — dealing with the adventures of a Jewish maiden at the Persian court of Xerxes — which under the title of Esther has found its way into the Old Testament we are told that it was customary in the royal harem at Shushan to submit the women to a very prolonged course of perfuming before they were admitted to the king : _	_	_	_	_	_	
 six months with oil of myrrh and six months with sweet odors nan ",1,0,0,0
6,"{ Esther , Chapter II , v . 12 . nan ",0,0,0,0
7,In the Arabian Nights there are many allusions to the use of perfumes by women with a more or less definitely stated aphrodisiacal intent nan ,1,0,0,0
8,"Thus we read in the story of Kamaralzaman : _	_	_	_	_	_	
 With fine incense I will perfume my breasts , my belly , my whole body , so that my skin may melt more sweetly in thy mouth , O apple of my eye nan ",1,0,0,0
9,Even among savages the perfuming of the body is sometimes practiced with the object of inducing love in the partner nan ,1,0,0,0
10,Schellong states that the Papuans of Kaiser Wilhelm's Land rub various fragrant plants into their bodies for this purpose nan ,1,0,0,0
11,"{ Zeitschrift fur Ethnologic , 1899 , ht nan ",0,0,0,0
12,"i , p . 19 . nan ",0,0,0,0
13,"The significance of this practice is more fully revealed by Haddon when studying the Papuans of Torres Straits , among whom the initiative in courtship is taken by the women nan ",0,0,0,0
14,It was by scenting himself with a pungent odorous substance that a young man indicated that he was ready to be sued by the girls nan ,1,0,0,0
15,"A man would wear this scent at the back of his neck during a dance in order to attract the attention of a particular girl ; it was believed to act with magical certainty , after the manner of a charm ( Reports of the Cambridge Anthropological Expedition to Torres Straits , vol . v , pp . 211 , 222 , and 328 ) nan ",1,0,0,0
16,The perfume which is of all perfumes the most interesting from the present point of view is certainly musk nan ,1,0,0,0
17,"With ambergris , musk is the chief member of Linnseus ' s group of Odores ambrosiacce , a group which in sexual significances , as Zwaardemaker remarks , ranks besides the capryl group of odors nan ",1,0,0,0
18,It is a perfume of ancient origin ; its name is Persian 1 ( indicating doubtless the channel whence it reached Europe ) and ultimately derived from the Sanskrit word for testicle in allusion to the fact that it was contained in a pouch removed from the sexual parts of the male musk-deer nan ,1,0,0,0
19,"Musk odors , however , often of considerable strength , are very widely distributed in Nature , alike among animals and plants nan ",1,0,0,0
20,"This is indicated by the frequency with which the word _	_	_	_	_	_	
20-12	3467-3471	musk	_	_	_	_	_	_	
20-13	3471-3472 forms part of the names of animals and plants which are by no means always nearly related nan ",0,0,0,0
21,"We have the musk-ox , the musky mole , several species called musk-rat , the musk-duck , the muskbeetle ; while among plants which have received their names from a real or supposed musky odor are , besides several that are called musk-plant , the musk-rose , the musk-hyacinth , the musk-mallow , the musk-orchid , the musk-melon , the muskcherry , the musk-pear , the musk-plum , muskat and muscatels , musk-seed , musk-tree , musk-wood , etc . 2 But a musky odor is not merely widespread in Nature among plants and the lower animals , it is peculiarly associated with man nan ",1,1,1,0
22,"Incidentally we have already seen how it is regarded as characteristic of some races of man , especially the Chinese nan ",0,0,0,0
23,"Moreover , the smell of the negress is said to be musky in character , and among Europeans a musky odor is said to be characteristic of blondes nan ",1,0,0,0
24,"Laycock , in his Nervous Diseases of Women , stated his opinion that _	_	_	_	_	_	
 the musk odor is certainly the sexual odor of nan ",1,0,0,0
25,; and Fere states that the musk odor is that among natural perfumes most nearly approaching the odor of the sexual secretions nan ,1,0,0,0
26,"We have seen that the Chinese poet vaunts the musky odor of his mistress ' s armpits , while another Oriental saying concerning the attractive woman is that _	_	_	_	_	_	
 her navel is filled with musk nan ",1,0,0,0
27,"Persian literature contains many references to musk as an attractive body odor , and Firdusi speaks of a woman ' s hair as _	_	_	_	_	_	
 a crown of musk nan ",1,0,0,0
28,"while the Arabian poet Motannabi says of his mistress that _	_	_	_	_	_	
 her hyacinthine hair smells sweeter than Scythian musk nan ",1,0,0,0
29,Galopin stated that he knew women whose natural odor of musk ( and less frequently of ambergris ) was sufficiently strong to impart to a bath in less than an hour a perfume due entirely to the exhalations of the musky body ; it must be added that Galopin was an enthusiast in this matter nan ,1,0,0,0
30,"The special significance of musk from our present point of view lies not only in the fact that we here have a perfume , widely scattered throughout nature and often in an agreeable form , which is at the same time a very frequent personal odor in man nan ",1,0,0,0
31,"Musk is the odor which not only in the animals to which it has given a name , but in many others , is a specifically sexual odor , chiefly emitted during the sexual season nan ",1,0,0,0
32,"The sexual odors , indeed , of most animals seem to be modifications of musk nan ",1,0,0,0
33,The Sphinx moth has a musky odor which is confined to the male and is doubtless sexual nan ,1,0,0,0
34,Some lizards have a musky odor which is heightened at the sexual season ; crocodiles during the pairing season emit from their submaxillary glands a musky odor which pervades their haunts nan ,1,0,0,0
35,In the same way elephants emit a musky odor from their facial glands during the rutting season nan ,1,0,0,0
36,The odor of the musk-duck is chiefly confined to the breeding season . 1 The musky odor of the negress is said to be heightened during sexual excitement nan ,1,0,0,0
37,"The predominance of musk as a sexual odor is associated with the fact that its actual nervous influence , apart from the presence of sexual associations , is very considerable nan ",1,0,0,0
38,Fere found it to be a powerful muscular stimulant nan ,0,0,0,0
39,"In former times musk enjoyed a high reputation as a cardiac stimulant ; it fell into disuse , but in recent years its use in asthenic states has been revived , and excellent results , it has been claimed , have followed its administration in cases of collapse from Asiatic cholera nan ",0,0,0,0
40,"For sexual torpor in women it still has ( like vanilla and sandal ) a certain degree of reputation , though it is not often used , and some of the old Arabian physicians ( especially Avicenna ) recommended it , with castoreum and myrrh , for amenorrhoea nan ",0,0,0,0
41,"Its powerful action is indicated by the experience of Esquirol , who stated that he had seen cases in which sensory stimulation by musk in women during lactation had produced mania nan ",0,0,0,0
42,"It has always had the reputation , more especially in the Mohammedan East , of being a sexual stimulant to men ; _	_	_	_	_	_	
 the noblest of perfumes / ' it is called in El Ktab nan ",0,0,0,0
43,and that which most provokes to venery . nan ,0,0,0,0
44,"Not only is musk the most cherished perfume of the Islamic world , and the special favorite of the Prophet himself , who greatly delighted in perfumes ( _	_	_	_	_	_	
 I love your world nan ",1,0,0,0
45,"he is reported to have said in old age , _	_	_	_	_	_	
 for its women and its nan ",1,0,0,0
46,") , 1 it is the only perfume generally used by the women of a land in which the refinements of life have been carried so far as Japan , and they received it from the Chinese . 2 Moreover , musk is still the most popular of European perfumes nan ",1,0,0,0
